JobURL,Designation,company_name,Location,Experience,Salary
https://www.naukri.com/job-listings-data-analyst-sea-and-beyond-mumbai-0-to-2-years-071223500159,Data Analyst,Not specified,Mumbai,0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-jar-bangalore-bengaluru-0-to-4-years-290922501840,Data Analyst,Jar App,Bangalore/Bengaluru,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-augie-pets-india-pvt-limited-bangalore-bengaluru-0-to-3-years-290822500368,Data Analyst,Not specified,Bangalore/Bengaluru,0-3 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-st-john-s-research-institute-bengaluru-bangalore-0-to-4-years-210121501464,Data Analyst,St. John’s Research Institute,Bengaluru,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-rystad-energy-india-private-limited-bangalore-bengaluru-0-to-3-years-160922502345,Data Analyst,Rystad Energy,Bangalore/Bengaluru,0-3 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-p-s-international-hr-consultants-mumbai-0-to-4-years-081022500461,Data Analyst,P S International HR Consultants,Mumbai,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-pune-techno-compass-consulting-pune-maharashtra-2-to-7-years-241223001646,Data Analyst  | Pune,Techno Compass Consulting,"Pune, Maharashtra",2-7 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-python-tableau-propmo-services-private-limited-mumbai-pune-0-to-2-years-071223908700,Data Analyst - Python / Tableau,Not specified,"Mumbai, Pune",0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-mm-staffing-career-consultants-private-limited-bangalore-bengaluru-0-to-8-years-110423501693,Data Analyst,Not specified,Bangalore/Bengaluru,0-8 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-join-hr-consultants-jalandhar-punjab-2-to-3-years-211223003605,Data Analyst,Not specified,"Jalandhar, Punjab",2-3 Yrs,3-3.5 Lacs PA
https://www.naukri.com/job-listings-data-analyst-magic-bus-noida-uttar-pradesh-3-to-8-years-201223008833,Data Analyst,Magic Bus,"Noida, Uttar Pradesh",3-8 Yrs,3.5-6 Lacs PA
https://www.naukri.com/job-listings-data-analyst-3-6-years-mumbai-svamaan-financial-services-pvt-ltd-mumbai-3-to-6-years-201223004580,Data Analyst | 3-6 years | Mumbai,Svamaan,Mumbai,3-6 Yrs,10-15 Lacs PA (Including Variable: 15.0%)
https://www.naukri.com/job-listings-data-analyst-webmd-mumbai-4-to-9-years-191223501321,Data Analyst,Not specified,Mumbai,4-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-paytm-payments-bank-noida-2-to-4-years-060723501028,Data Analyst,Paytm,Noida,2-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-empezar-global-marine-services-mumbai-all-areas-2-to-5-years-141223008278,Data Analyst,Not specified,Mumbai (All Areas)(Powai),2-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-dripshop-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-161023500047,Data Analyst,Not specified,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-and-integration-analyst-rellio-services-hyderabad-secunderabad-2-to-5-years-291223501508,Data and Integration Analyst,Not specified,Hyderabad/Secunderabad,2-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-and-cloud-practices-blue-rose-technologies-pvt-ltd-bangalore-bengaluru-0-to-2-years-311023501691,Data Analyst and Cloud Practices,Blue Rose Technologies Pvt. Ltd,Bangalore/Bengaluru,0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-facctum-it-solutions-india-private-limited-bangalore-bengaluru-0-to-2-years-131223501703,Data Analyst,Facctum,Bangalore/Bengaluru,0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-rotex-mumbai-pune-0-to-4-years-081223906875,Data Analyst,Rotex,"Mumbai, Pune",0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-sea-and-beyond-mumbai-0-to-2-years-071223500159,Data Analyst,Not specified,Mumbai,0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-jar-bangalore-bengaluru-0-to-4-years-290922501840,Data Analyst,Jar App,Bangalore/Bengaluru,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-augie-pets-india-pvt-limited-bangalore-bengaluru-0-to-3-years-290822500368,Data Analyst,Not specified,Bangalore/Bengaluru,0-3 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-st-john-s-research-institute-bengaluru-bangalore-0-to-4-years-210121501464,Data Analyst,St. John’s Research Institute,Bengaluru,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-rystad-energy-india-private-limited-bangalore-bengaluru-0-to-3-years-160922502345,Data Analyst,Rystad Energy,Bangalore/Bengaluru,0-3 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-p-s-international-hr-consultants-mumbai-0-to-4-years-081022500461,Data Analyst,P S International HR Consultants,Mumbai,0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-pune-techno-compass-consulting-pune-maharashtra-2-to-7-years-241223001646,Data Analyst  | Pune,Techno Compass Consulting,"Pune, Maharashtra",2-7 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-python-tableau-propmo-services-private-limited-mumbai-pune-0-to-2-years-071223908700,Data Analyst - Python / Tableau,Not specified,"Mumbai, Pune",0-2 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-mm-staffing-career-consultants-private-limited-bangalore-bengaluru-0-to-8-years-110423501693,Data Analyst,Not specified,Bangalore/Bengaluru,0-8 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-join-hr-consultants-jalandhar-punjab-2-to-3-years-211223003605,Data Analyst,Not specified,"Jalandhar, Punjab",2-3 Yrs,3-3.5 Lacs PA
https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bangalore-bengaluru-1-to-5-years-291223500832,Data Analyst,ANZ,Bangalore/Bengaluru,1-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bangalore-bengaluru-1-to-5-years-291223500831,Data Analyst,ANZ,Bangalore/Bengaluru,1-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-greenland-automation-mumbai-pune-pune-mumbai-0-to-4-years-291223906572,Data Analyst,Not specified,"Mumbai, Pune, Pune mumbai",0-4 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-ras-beauty-private-limited-mumbai-2-to-5-years-291223905791,Data Analyst,RAS Beauty,Mumbai,2-5 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-trigyn-technologies-noida-uttar-pradesh-new-delhi-delhi-gurugram-haryana-5-to-9-years-261223002456,Data Analyst,Trigyn Technologies,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurugram, Haryana",5-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-9-years-281223909437,Data Analyst,Capgemini,Bangalore/Bengaluru,6-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-infosys-limited-bangalore-bengaluru-7-to-9-years-281223908847,Data Analyst,Infosys,Bangalore/Bengaluru,7-9 Yrs,Not disclosed
https://www.naukri.com/job-listings-data-analyst-sureminds-solutions-bangalore-rural-karnataka-delhi-ncr-5-to-10-years-231223003978,Data Analyst,Not specified,"Hybrid - Bangalore Rural, Karnataka, Delhi / NCR",5-10 Yrs,17-27.5 Lacs PA
https://www.naukri.com/job-listings-data-analyst-cbre-gurugram-haryana-6-to-9-years-151223006750,Data Analyst,CBRE,"Gurugram, Haryana",6-9 Yrs,Not disclosed
